move,occurrences,examples,matched,ruleId,type,category,validationStatus,runtimeDecisionCount,flags,pokemonBehavior,system,recommendation
"Baton Pass","2","Ezenek/Clefairy, Shintaro/Mawile","true","move:baton-pass:85","Normal","Status","automatic","1","catalog;runtime_decision","Allows the trainer to switch out the user and pass effects along to its replacement.","teleport target=target res=dodge","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Bite","6","Ezenek/Wartortle, Icarus/Wartortle, James HiBorn/Crobat, Nyx/yungoos","true","move:bite:86","Dark","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to make the target flinch.","damage target=target res=thg | affliction target=target res=fort cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Blizzard","1","Ezenek/Glalie","true","move:blizzard:12","Ice","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to freeze the target.","damage target=target res=thg trait=int extras=Increased Range 1+Area: Cloud | affliction target=target res=fort cond=dazed/stunned/transformed trait=int linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Block","2","Delta/Malamar, Ezenek/Glalie","true","move:block:178","Normal","Status","automatic","1","catalog;runtime_decision","Prevents the target from leaving battle.","nullify target=target res=will extras=Counter+Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Body Slam","1","RCsar/Doduo","true","move:body-slam:179","Normal","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to paralyze the target.","damage target=target res=thg | affliction target=target res=fort cond=fatigued/immobile/paralyzed linked | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Brave Bird","1","Ezenek/Sirfetch'd","true","move:brave-bird:150","Flying","Físico","automatic","0","catalog","User receives 1/3 the damage inflicted in recoil.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Brick Break","1","Ezenek/poliwrath","true","move:brick-break:25","Fighting","Físico","automatic","0","catalog","Destroys Reflect and Light Screen.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Brine","2","Delta/Krabbynho, Nala/Kingler","true","move:brine:818","Water","Especial","automatic","0","catalog","Has double power against Pokémon that have less than half their max HP remaining.","damage target=target res=thg extras=Increased Range 1 | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Bubble","3","Ezenek/Wartortle, Icarus/Wartortle, dtvcacaio/Poliwag","true","move:bubble:184","Water","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Speed by one stage.","damage target=target res=thg | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Bubble (Alternativo - Escorregar (Zona Escorregadia))","2","Ezenek/Wartortle, Icarus/Wartortle","true","move:bubble-alternativo-escorregar-zona-escorregadia:655","Water","Status","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Speed by one stage.","environment target=field extras=Increased Range 1+Area: Cloud | affliction target=target res=dodge cond=prone/hindered/hindered linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Bug Bite","1","Eneias/Dwebble","true","move:bug-bite:185","Bug","Físico","automatic","0","catalog","If target has a berry, inflicts double damage and uses the berry.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Bug Buzz","3","Eneias/Joltik, Icarus/Dottler, Nala/Dottler","true","move:bug-buzz:186","Bug","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Special Defense by one stage.","damage target=target res=will | weaken target=target res=will trait=will extras=Cumulative linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Bulk Up","3","Ezenek/Krokorok, Ezenek/poliwrath, Ezenek/Crabominable","true","move:bulk-up:8","Fighting","Status","automatic","0","catalog;self_debuff","Raises the user’s Attack and Defense by one stage.","enhanced_trait target=self trait=stgr | enhanced_trait target=self trait=thg linked","OK pelo catalogo/engine atual."
"Bulldoze","1","Ezenek/donphan","true","move:bulldoze:65","Ground","Físico","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to lower the target’s Speed by one stage.","damage target=target res=thg trait=speed extras=Area: Burst | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Burn Up","1","Ezenek/carkol","true","move:burn-up:188","Fire","Especial","automatic","0","catalog","Removes the user’s Fire type after inflicting damage.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
"Calm Mind","2","Icarus/Dottler, Nala/Dottler","true","move:calm-mind:5","Psychic","Status","automatic","0","catalog;self_debuff","Raises the user’s Special Attack and Special Defense by one stage.","enhanced_trait target=self res=will trait=int | enhanced_trait target=self res=will trait=will linked","OK pelo catalogo/engine atual."
"Charge","3","Icarus/Flaaffy, RCsar/shinx, Safira/shinx","true","move:charge:189","Electric","Status","automatic","0","catalog;self_debuff","Raises the user’s Special Defense by one stage. User’s Electric moves have doubled power next turn.","enhanced_trait target=self trait=will | enhanced_trait target=self linked","OK pelo catalogo/engine atual."
"Charge Beam","3","Felicia Fulgar/Electivire, Felicia Fulgar/Raichu, Shintaro/Electivire","true","move:charge-beam:46","Electric","Especial","automatic","0","catalog;self_debuff;secondary_guaranteed","Has a 70% chance to raise the user’s Special Attack by one stage.","damage target=target res=thg trait=int extras=Increased Range 1 | enhanced_trait target=self res=thg trait=int linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Charm","1","Shintaro/Ponyta (Galar)","true","move:charm:190","Fairy","Status","automatic","0","catalog","Lowers the target’s Attack by two stages.","weaken target=target res=fort trait=stgr extras=Cumulative","OK pelo catalogo/engine atual."
"Circle Throw","1","Ezenek/poliwrath","true","move:circle-throw:193","Fighting","Físico","automatic","1","catalog;runtime_decision","Ends wild battles. Forces trainers to switch Pokémon.","damage target=target res=dodge | move_object target=target res=dodge linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Close Combat","1","Logan/Infernape","true","move:close-combat:88","Fighting","Físico","automatic","0","catalog;self_debuff;wrong_self_debuff_target","Lowers the user’s Defense and Special Defense by one stage after inflicting damage.","damage target=target res=will trait=thg/will | weaken target=target res=will trait=thg linked | weaken target=target res=will trait=will linked | weaken target=target res=fort trait=thg extras=Cumulative linked","Corrigir debuff de usuario: aplicar no atacante/self (Thg -1, Will -1), sem resistencia do alvo."
"Coaching","1","Ezenek/poliwrath","true","move:coaching:804","Fighting","Status","automatic","0","catalog","Inflicts regular damage with no additional effect.","enhanced_trait target=self trait=stgr extras=Increased Range 1 | enhanced_trait target=self trait=thg linked","OK pelo catalogo/engine atual."
"Coil","2","Eneias/Centiskorch, Ezenek/Seviper","true","move:coil:806","Poison","Status","automatic","0","catalog;self_debuff","Raises the user’s Attack, Defense, and accuracy by one stage each.","enhanced_trait target=self trait=stgr | enhanced_trait target=self trait=thg linked | enhanced_trait target=self linked","OK pelo catalogo/engine atual."
"Confuse Ray","1","Ezenek/Gengar","true","move:confuse-ray:195","Ghost","Status","automatic","0","catalog","Confuses the target.","affliction target=target res=will cond=vulnerable/defenseless/controlled extras=Increased Range 1 | affliction target=target res=will cond=vulnerable/defenseless/controlled linked","OK pelo catalogo/engine atual."
"Cosmic Power","1","Ezenek/Clefairy","true","move:cosmic-power:197","Psychic","Status","automatic","0","catalog;self_debuff","Raises the user’s Defense and Special Defense by one stage.","enhanced_trait target=self res=will trait=thg | enhanced_trait target=self res=will linked","OK pelo catalogo/engine atual."
"Cotton Guard","1","Icarus/Flaaffy","true","move:cotton-guard:198","Grass","Status","automatic","0","catalog;self_debuff","Raises the user’s Defense by three stages.","enhanced_trait target=self trait=thg","OK pelo catalogo/engine atual."
"Counter","2","Icarus/Riolu, Shintaro/Lycanroc (Midnight)","true","move:counter:200","Fighting","Físico","automatic","0","catalog","Inflicts twice the damage the user received from the last physical hit it took.","damage target=target res=parry extras=Reaction (ao ser acertado em Parry)+Reaction","OK pelo catalogo/engine atual."
"Cross Poison","1","James HiBorn/Crobat","true","move:cross-poison:821","Poison","Físico","automatic","0","catalog;secondary_guaranteed","Has an increased chance for a critical hit and a 10% chance to poison the target.","damage target=target res=thg extras=Improved Critical 1 | damage target=target res=fort linked | affliction target=target res=fort cond=impaired/disabled/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Crunch","6","Ezenek/Glalie, Ezenek/Krokorok, Icarus/Mightyena, Icarus/Rockruff","true","move:crunch:89","Dark","Físico","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to lower the target’s Defense by one stage.","damage target=target res=thg trait=will | weaken target=target res=fort trait=thg extras=Cumulative linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Dark Pulse","6","Delta/Hydreigon, Ezenek/Blastoise, Ezenek/Darkrai, Logan/Blastoise","true","move:dark-pulse:80","Dark","Especial","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to make the target flinch.","damage target=target res=thg extras=Increased Range 1 | affliction target=target res=fort cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Destiny Bond","1","Ezenek/Gengar","true","move:destiny-bond:91","Ghost","Status","automatic","0","catalog","If the user faints this turn, the target automatically will, too.","affliction target=target res=will cond=incapacitated/incapacitated/incapacitated extras=Reaction (quando o usuário for Incapacitated)+Reaction","OK pelo catalogo/engine atual."
"Detect","1","Ezenek/poliwrath","true","move:detect:206","Fighting","Status","automatic","0","catalog","Movimento de status do tipo Fighting. Alcance corpo a corpo.","immunity target=target","OK pelo catalogo/engine atual."
"Dig","2","Ezenek/Krokorok, Nyx/yungoos","true","move:dig:92","Ground","Físico","automatic","0","catalog","User digs underground, dodging all attacks, and hits next turn.","damage target=target res=thg extras=Move-by Action+Immunity (Damage); Flaw: Limited (apenas durante o turno de carga)","OK pelo catalogo/engine atual."
"Disable","5","Ezenek/Darkrai, Ezenek/Gengar, Ezenek/Glalie, Ezenek/Nidoran ♀","true","move:disable:207","Normal","Status","automatic","1","catalog;runtime_decision","Disables the target’s last used move for 1-8 turns.","nullify target=target res=will extras=Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Discharge","2","Felicia Fulgar/Raichu, Shintaro/Raichu Alola","true","move:discharge:208","Electric","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to paralyze the target.","damage target=target res=thg extras=Increased Range 1+Area: Cloud | affliction target=target res=fort cond=fatigued/immobile/paralyzed linked | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Dive","1","Amber/Starmie","true","move:dive:997","Water","Físico","automatic","0","catalog","User dives underwater, dodging all attacks, and hits next turn.","damage target=target res=thg extras=Move-by Action+Immunity (Damage); Flaw: Limited (apenas durante o turno de carga)","OK pelo catalogo/engine atual."
"Double Team","5","Delta/Gallade, Ezenek/Clefairy, Ezenek/Gengar, Ezenek/Glalie","true","move:double-team:212","Normal","Status","automatic","0","catalog;self_debuff","Raises the user’s evasion by one stage.","enhanced_trait target=self","OK pelo catalogo/engine atual."
"Double Team (Alternative)","1","Delta/Zoroark","true","move:double-team-alternative:443","Normal","Status","automatic","1","catalog;self_debuff;runtime_decision","Raises the user’s evasion by one stage.","concealment target=self | illusion target=field linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Double-Edge","1","Ezenek/Golem-A","true","move:double-edge:209","Normal","Físico","automatic","0","catalog","User receives 1/3 the damage inflicted in recoil.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Draco Meteor","1","Delta/Hydreigon","true","move:draco-meteor:93","Dragon","Especial","automatic","0","catalog;self_debuff;wrong_self_debuff_target","Lowers the user’s Special Attack by two stages after inflicting damage.","damage target=target res=thg trait=int | weaken target=target res=fort trait=int linked | weaken target=target res=fort trait=int extras=Cumulative linked","Corrigir debuff de usuario: aplicar no atacante/self (Int -2), sem resistencia do alvo."
"Dragon Claw","1","Logan/Dragonite","true","move:dragon-claw:3","Dragon","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Dragon Dance","1","Logan/Dragonite","true","move:dragon-dance:94","Dragon","Status","automatic","0","catalog;self_debuff","Raises the user’s Attack and Speed by one stage.","enhanced_trait target=self trait=stgr | enhanced_trait target=self trait=dodge/initiative linked","OK pelo catalogo/engine atual."
"Drain Punch","3","Amber/Pangoro, Ezenek/Pangoro, Ezenek/Crabominable","true","move:drain-punch:214","Fighting","Físico","automatic","0","catalog","Drains half the damage inflicted to heal the user.","damage target=target res=thg | healing target=self res=thg linked","OK pelo catalogo/engine atual."
"Drill Peck","3","James HiBorn/Dodrio, James HiBorn/Dodrio, RCsar/Doduo","true","move:drill-peck:216","Flying","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Dual Wingbeat","2","Ezenek/Corviknight, dtvcacaio/Crobat","true","move:dual-wingbeat:985","Flying","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Multiattack 1 (2 hits)+Multiattack","OK pelo catalogo/engine atual."
"Dynamic Punch","1","Ezenek/Crabominable","true","move:dynamic-punch:219","Fighting","Físico","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to confuse the target.","damage target=target res=thg","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Earth Power","1","Delta/Hydreigon","true","move:earth-power:153","Ground","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Special Defense by one stage.","damage target=target res=will extras=Increased Range 1 | weaken target=target res=will trait=will linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Earthquake","2","Ezenek/Golem-A, James HiBorn/Golem","true","move:earthquake:21","Ground","Físico","automatic","0","catalog","Inflicts regular damage and can hit Dig users.","damage target=target res=thg extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"Electric Terrain","2","Felicia Fulgar/Raichu, James HiBorn/Magneton","true","move:electric-terrain:220","Electric","Status","automatic","1","catalog;runtime_decision","For five turns, prevents all Pokémon on the ground from sleeping and strengthens their Electric moves to 1.5× their power.","environment target=field extras=Increased Range 1+Area: Burst | nullify target=target res=will extras=Area: Burst linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Electro Ball","5","Ezenek/Lycanroc (Midday), Felicia Fulgar/Raichu, Icarus/Flaaffy, Logan/Pikachu","true","move:electro-ball:222","Electric","Especial","automatic","0","catalog","Power is higher when the user has greater Speed than the target, up to a maximum of 150.","damage target=target res=dodge extras=Increased Range 1+Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Electroweb","2","Ezenek/Lycanroc (Midday), Felicia Fulgar/Raichu","true","move:electroweb:223","Electric","Especial","automatic","0","catalog","Lowers the target’s Speed by one stage.","damage target=target res=thg extras=Increased Range 1 | weaken target=target res=fort trait=initiative/dodge linked","OK pelo catalogo/engine atual."
"Embargo","3","Delta/Weavile, Delta/Zoroark, Icarus/Mightyena","true","move:embargo:52","Dark","Status","automatic","1","catalog;runtime_decision","Target cannot use held items.","nullify target=target res=will","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Encore","4","Ezenek/Emolga, Ezenek/Lycanroc (Midday), Felicia Fulgar/Raichu, Shintaro/Raichu Alola","true","move:encore:224","Normal","Status","automatic","0","catalog","Forces the target to repeat its last used move every turn for 2 to 6 turns.","affliction target=target res=will cond=rank/rank/rank extras=Increased Range 1","OK pelo catalogo/engine atual."
"Endeavor","1","Ezenek/donphan","true","move:endeavor:225","Normal","Físico","automatic","0","catalog","Lowers the target’s HP to equal the user’s.","damage target=target res=dodge","OK pelo catalogo/engine atual."
"Endure","1","Ezenek/donphan","true","move:endure:226","Normal","Status","automatic","0","catalog","Movimento de status do tipo Normal. Alcance corpo a corpo.","feature target=target","OK pelo catalogo/engine atual."
"Energy Ball","1","Nala/Sawsbuck","true","move:energy-ball:42","Grass","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Special Defense by one stage.","damage target=target res=will extras=Increased Range 1 | weaken target=target res=will trait=will extras=Cumulative linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Explosion","1","James HiBorn/Golem","true","move:explosion:96","Normal","Físico","automatic","0","catalog","User faints.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Facade","1","Ezenek/Teddiursa","true","move:facade:33","Normal","Físico","automatic","0","catalog","Power doubles if user is burned, paralyzed, or poisoned.","damage target=target res=thg | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Feint","1","Delta/Gallade","true","move:feint:229","Normal","Físico","automatic","0","catalog","Hits through Protect and Detect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Fire Spin","5","Eneias/Centiskorch, Ezenek/pyroar, Logan/Infernape, Logan/Magmortar","true","move:fire-spin:811","Fire","Especial","automatic","1","catalog;runtime_decision","Prevents the target from fleeing and inflicts damage for 2-5 turns.","damage target=target res=thg extras=Increased Range 1 | nullify target=target res=dodge extras=Increased Duration 3 (Sustained) linked | damage target=target res=fort linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"First Impression","2","Amber/golisopod, Ezenek/Sirfetch'd","true","move:first-impression:825","Bug","Físico","automatic","0","catalog","Can only be used as the first move after the user enters battle.","damage target=target res=thg | enhanced_trait target=self res=thg trait=seize_initiative linked","OK pelo catalogo/engine atual."
"Flame Wheel","2","RCsar/chimchar, RCsar/chimchar","true","move:flame-wheel:812","Fire","Físico","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to burn the target. Lets frozen Pokémon thaw themselves.","damage target=target res=thg trait=speed | weaken target=target res=fort trait=stgr linked | damage target=target res=fort trait=speed linked | affliction target=target res=fort cond=impaired/disabled/incapacitated trait=speed linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Flamethrower","3","Delta/Zoroark, Felicia Fulgar/Electivire, Shintaro/Electivire","true","move:flamethrower:27","Fire","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to burn the target.","damage target=target res=thg trait=stgr extras=Increased Range 1 | weaken target=target res=fort trait=stgr linked | damage target=target res=fort trait=stgr linked | affliction target=target res=fort cond=impaired/disabled/incapacitated trait=stgr linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Flare Blitz","2","Eneias/Centiskorch, Logan/Infernape","true","move:flare-blitz:233","Fire","Físico","automatic","0","catalog;secondary_guaranteed","User takes 1/3 the damage inflicted in recoil. Has a 10% chance to burn the target.","damage target=target res=thg","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Flash","2","Delta/Staryu, Ezenek/Clefairy","true","move:flash:234","Normal","Status","automatic","0","catalog","Lowers the target’s accuracy by one stage.","weaken target=target res=will trait=close_attack/ranged_attack extras=Cumulative+Increased Range 1","OK pelo catalogo/engine atual."
"Flash Cannon","2","Ezenek/Corviknight, Logan/Blastoise","true","move:flash-cannon:74","Steel","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Special Defense by one stage.","damage target=target res=will extras=Increased Range 1 | weaken target=target res=will trait=will linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Fly","1","Ezenek/Corviknight","true","move:fly:64","Flying","Físico","automatic","0","catalog","User flies high into the air, dodging all attacks, and hits next turn.","damage target=target res=thg extras=Move-by Action+Immunity (Damage); Flaw: Limited (apenas durante o turno de carga)","OK pelo catalogo/engine atual."
"Force Palm","1","Icarus/Riolu","true","move:force-palm:238","Fighting","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to paralyze the target.","damage target=target res=thg | affliction target=target res=fort cond=fatigued/immobile/paralyzed linked | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Foresight","1","Icarus/Riolu","true","move:foresight:239","Normal","Status","automatic","1","catalog;runtime_decision","Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.","nullify target=target res=will","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Foul Play","1","Delta/honchkrow","true","move:foul-play:241","Dark","Físico","automatic","0","catalog","Calculates damage with the target’s attacking stat.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Fury Attack","1","James HiBorn/Dodrio","true","move:fury-attack:1026","Normal","Físico","automatic","0","catalog","Hits 2-5 times in one turn.","damage target=target res=thg extras=Multiattack 4 (2-5 hits)+Multiattack","OK pelo catalogo/engine atual."
"Fury Cutter","2","Eneias/Parasect, Ezenek/Sirfetch'd","true","move:fury-cutter:243","Bug","Físico","automatic","0","catalog","Power doubles every turn this move is used in succession after the first, maxing out after five turns.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Fury Swipes","2","RCsar/chimchar, RCsar/chimchar","true","move:fury-swipes:244","Normal","Físico","automatic","0","catalog","Hits 2-5 times in one turn.","damage target=target res=dodge extras=Multiattack+Increased Range 1+Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Gastro Acid","1","Ezenek/Seviper","true","move:gastro-acid:245","Poison","Status","automatic","1","catalog;runtime_decision","Nullifies target’s ability until it leaves battle.","nullify target=target res=will extras=Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Giga Drain","1","Eneias/Parasect","true","move:giga-drain:99","Grass","Especial","automatic","0","catalog","Drains half the damage inflicted to heal the user.","damage target=target res=thg | healing target=self res=thg linked","OK pelo catalogo/engine atual."
"Gravity","2","Delta/Malamar, James HiBorn/Ferrothorn","true","move:gravity:249","Psychic","Status","automatic","0","catalog","Movimento de status do tipo Psychic. Alcance corpo a corpo.","environment target=field extras=Increased Range 1+Area: Burst","OK pelo catalogo/engine atual."
"Guillotine","1","Delta/Bisharp","true","move:guillotine:253","Normal","Físico","automatic","0","catalog","Causes a one-hit KO.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Gyro Ball","2","Ezenek/Glalie, James HiBorn/Magneton","true","move:gyro-ball:62","Steel","Físico","automatic","0","catalog","Power raises when the user has lower Speed, up to a maximum of 150.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Hail","3","Ezenek/Glalie, Ezenek/spheal, Nala/Sawsbuck","true","move:hail:7","Ice","Status","automatic","0","catalog","Changes the weather to a hailstorm for five turns.","damage target=target res=thg extras=Increased Range 1+Increased Duration 3 linked | environment target=field linked","OK pelo catalogo/engine atual."
"Harden","2","Delta/Krabbynho, Nala/Kingler","true","move:harden:256","Normal","Status","automatic","0","catalog;self_debuff","Raises the user’s Defense by one stage.","enhanced_trait target=self trait=thg","OK pelo catalogo/engine atual."
"Haze","7","Delta/Muk-A, Delta/Weavile, Ezenek/Darkrai, Ezenek/poliwrath","true","move:haze:100","Ice","Status","automatic","0","catalog","Movimento de status do tipo Ice. Alcance à distância.","immunity target=target extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"Heat Crash","1","Ezenek/carkol","true","move:heat-crash:262","Fire","Físico","automatic","0","catalog","Power is higher when the user weighs more than the target, up to a maximum of 120.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Heavy Slam","1","Ezenek/Golem-A","true","move:heavy-slam:264","Steel","Físico","automatic","0","catalog","Power is higher when the user weighs more than the target, up to a maximum of 120.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Helping Hand","1","Nala/Dottler","true","move:helping-hand:793","Normal","Status","automatic","0","catalog","Ally’s next move inflicts half more damage.","feature target=target trait=dano extras=Increased Range 1","OK pelo catalogo/engine atual."
"Hex","2","Delta/Spiritomb, Ezenek/Gengar","true","move:hex:265","Ghost","Especial","automatic","0","catalog","Has double power if the target has a major status ailment.","damage target=target res=will extras=Increased Range 1 | damage target=target res=will linked","OK pelo catalogo/engine atual."
"Hone Claws","1","Delta/Weavile","true","move:hone-claws:268","Dark","Status","automatic","0","catalog;self_debuff","Raises the user’s Attack and accuracy by one stage.","enhanced_trait target=self | enhanced_trait target=self linked","OK pelo catalogo/engine atual."
"Horn Leech","1","Nala/Sawsbuck","true","move:horn-leech:270","Grass","Físico","automatic","0","catalog","Drains half the damage inflicted to heal the user.","damage target=target res=thg | healing target=self res=thg linked","OK pelo catalogo/engine atual."
"Howl","2","Nyx/Houndour, Safira/shinx","true","move:howl:271","Normal","Status","needsReview","0","catalog;self_debuff;needsReview","Raises the user’s Attack by one stage.","enhanced_trait target=self trait=stgr extras=Selective","NeedsReview: selective_without_area."
"Hurricane (Alternative)","1","Ezenek/butterfree","true","move:hurricane-alternative:477","Flying","Especial","automatic","1","catalog;secondary_guaranteed;runtime_decision","Has a 30% chance to confuse the target.","damage target=target res=thg extras=Increased Range 1+Area: Burst | move_object target=target res=thg extras=Area: Burst linked | environment target=field res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Hydro Pump","2","Ezenek/spheal, Logan/Blastoise","true","move:hydro-pump:102","Water","Especial","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
