category,move,trainer,pokemon,path,catalogMatched,source,validationStatus,effects,decisions,issues,selfDebuffIssues
needsReview,4 Braços Extras,Amber,golisopod,trainers/Amber/sheets/golisopod_247_77e12fcc,false,sheet_build,needs_review,feature,,,
fullyAutomated,Liquidation,Amber,golisopod,trainers/Amber/sheets/golisopod_247_77e12fcc,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Swim,Amber,golisopod,trainers/Amber/sheets/golisopod_247_77e12fcc,true,catalog+sheet_build,partial,movement,,,
needsReview,Mean Look,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Guillotine,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,automatic,damage,,unreliable_50_percent,
fullyAutomated,Iron Head,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,automatic,damage+affliction,,,
needsReview,Metal Burst,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,needs_review,damage,,reaction_needs_trigger,
fullyAutomated,Metal Claw,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Sucker Punch,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Swords Dance,Delta,Bisharp,trainers/Delta/sheets/Bisharp_174_1b4663d9,true,catalog+sheet_build,automatic,enhanced_trait,,,
requiresRuntimeDecision,Teleport,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,needs_review,teleport,,,
fullyAutomated,Double Team,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Swords Dance,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Psycho Cut,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Night Slash,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Feint,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Leaf Blade,Delta,Gallade,trainers/Delta/sheets/Gallade_313_e7d7287e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Tri Attack,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Draco Meteor,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Dark Pulse,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Torment,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Taunt,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,affliction,,,
requiresRuntimeDecision,Roar,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,needs_review,teleport,,,
fullyAutomated,Earth Power,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Payback,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,damage+damage,,,
fullyAutomated,Nasty Plot,Delta,Hydreigon,trainers/Delta/sheets/Hydreigon_283_32e8579e,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Brine,Delta,Krabbynho,trainers/Delta/sheets/Krabbynho_mm_Krabbynho_589c6aaf,true,catalog+sheet_build,automatic,damage,,,
automatedWithFallback,Guilliotine,Delta,Krabbynho,trainers/Delta/sheets/Krabbynho_mm_Krabbynho_589c6aaf,false,sheet_build,automatic,damage,,,
fullyAutomated,Harden,Delta,Krabbynho,trainers/Delta/sheets/Krabbynho_mm_Krabbynho_589c6aaf,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Metal Claw,Delta,Krabbynho,trainers/Delta/sheets/Krabbynho_mm_Krabbynho_589c6aaf,true,catalog+sheet_build,automatic,enhanced_trait+damage,,,
needsReview,Mud Shot,Delta,Krabbynho,trainers/Delta/sheets/Krabbynho_mm_Krabbynho_589c6aaf,true,catalog+sheet_build,needs_review,damage+custom,,custom_effect,
fullyAutomated,Reflect,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Light Screen,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Psycho Cut,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Superpower,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,automatic,damage+enhanced_trait+enhanced_trait,,,
needsReview,Topsy-Turvy,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,needs_review,nullify,,,
needsReview,Block,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Gravity,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Ally Switch,Delta,Malamar,trainers/Delta/sheets/Malamar_213_9ed74b49,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Minimize,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Poison Gas,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,affliction+damage,,,
fullyAutomated,Venom Drench,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Acid Spray,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Knock Off,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,damage+weaken+damage,,,
fullyAutomated,Taunt,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Haze,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,partial,immunity,,,
needsReview,Mean Look,Delta,Muk-A,trainers/Delta/sheets/Muk-A_197_d7a095f3,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Will-O-Wisp,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
fullyAutomated,Hex,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,automatic,damage+damage,,,
fullyAutomated,Pain Split,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,automatic,healing+damage,,,
fullyAutomated,Sucker Punch,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Taunt,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Phantom Force,Delta,Spiritomb,trainers/Delta/sheets/Spiritomb_388_14d4fb67,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Surf,Delta,Staryu,trainers/Delta/sheets/Staryu_70_34a898d0,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Recover,Delta,Staryu,trainers/Delta/sheets/Staryu_70_34a898d0,true,catalog+sheet_build,automatic,healing,,,
fullyAutomated,Flash,Delta,Staryu,trainers/Delta/sheets/Staryu_70_34a898d0,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Psywave,Delta,Staryu,trainers/Delta/sheets/Staryu_70_34a898d0,true,catalog+sheet_build,automatic,damage,,,
needsReview,Whirlpool,Delta,Staryu,trainers/Delta/sheets/Staryu_70_34a898d0,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
fullyAutomated,Hone Claws,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
fullyAutomated,Ice Shard,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
needsReview,Ice Punch,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,needs_review,damage+custom,,custom_effect,
fullyAutomated,Pursuit,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Low Kick,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Haze,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,partial,immunity,,,
needsReview,Embargo,Delta,Weavile,trainers/Delta/sheets/Weavile_87_9182e07c,true,catalog+sheet_build,needs_review,nullify,,,
needsReview,Punishment,Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Flamethrower,Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,automatic,damage+weaken+damage+affliction,,,
fullyAutomated,Low Kick,Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,automatic,damage,,,
needsReview,Psychic (Alternativo - Defletir / Redirecionar Golpes),Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,needs_review,deflect+weaken,,,
needsReview,Embargo,Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,needs_review,nullify,,,
requiresRuntimeDecision,Double Team (Alternative),Delta,Zoroark,trainers/Delta/sheets/Zoroark_0_47cdd966,true,catalog+sheet_build,needs_review,concealment+illusion,,,
fullyAutomated,Tailwind,Delta,honchkrow,trainers/Delta/sheets/honchkrow_0_7bdd582f,true,catalog+sheet_build,automatic,enhanced_trait,,,
requiresRuntimeDecision,Thief,Delta,honchkrow,trainers/Delta/sheets/honchkrow_0_7bdd582f,true,catalog+sheet_build,needs_review,damage+move_object,,,
fullyAutomated,Foul Play,Delta,honchkrow,trainers/Delta/sheets/honchkrow_0_7bdd582f,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Lash Out,Delta,honchkrow,trainers/Delta/sheets/honchkrow_0_7bdd582f,true,catalog+sheet_build,automatic,damage,,,
needsReview,Mean Look,Delta,honchkrow,trainers/Delta/sheets/honchkrow_0_7bdd582f,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Stealth Rock,Eneias,Dwebble,trainers/Eneias/sheets/Dwebble_244_34f44fc6,true,catalog+sheet_build,needs_review,create+damage,,,
fullyAutomated,Stone Edge,Eneias,Dwebble,trainers/Eneias/sheets/Dwebble_244_34f44fc6,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Bug Bite,Eneias,Dwebble,trainers/Eneias/sheets/Dwebble_244_34f44fc6,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Rock Tomb,Eneias,Dwebble,trainers/Eneias/sheets/Dwebble_244_34f44fc6,true,catalog+sheet_build,automatic,damage+weaken,,,
needsReview,Spider Web,Eneias,Joltik,trainers/Eneias/sheets/Joltik_168_0019f925,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Bug Buzz,Eneias,Joltik,trainers/Eneias/sheets/Joltik_168_0019f925,true,catalog+sheet_build,automatic,damage+weaken,,,
requiresRuntimeDecision,Volt Switch,Eneias,Joltik,trainers/Eneias/sheets/Joltik_168_0019f925,true,catalog+sheet_build,needs_review,damage+teleport,,,
fullyAutomated,Signal Beam,Eneias,Joltik,trainers/Eneias/sheets/Joltik_168_0019f925,true,catalog+sheet_build,automatic,damage,,,
needsReview,Fire Spin,Eneias,Centiskorch,trainers/Eneias/sheets/Joltik_168_99def918,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
fullyAutomated,Coil,Eneias,Centiskorch,trainers/Eneias/sheets/Joltik_168_99def918,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait+enhanced_trait,,,
needsReview,Flare Blitz,Eneias,Centiskorch,trainers/Eneias/sheets/Joltik_168_99def918,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Lunge,Eneias,Centiskorch,trainers/Eneias/sheets/Joltik_168_99def918,true,catalog+sheet_build,automatic,damage+weaken+weaken,,,
fullyAutomated,Synthesis,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,automatic,healing,,,
fullyAutomated,Rage Powder,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Knock Off,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,automatic,damage+weaken+damage,,,
needsReview,Powder,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,needs_review,damage,,reaction_needs_trigger,
fullyAutomated,Giga Drain,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,automatic,damage+healing,,,
fullyAutomated,Fury Cutter,Eneias,Parasect,trainers/Eneias/sheets/Krabbynho_mm_Krabbynho_e0d4c0e4,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Swords Dance,Eneias,Yanma,trainers/Eneias/sheets/Yanma_243_6c200e80,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,String Shot,Eneias,Yanma,trainers/Eneias/sheets/Yanma_243_6c200e80,true,catalog+sheet_build,automatic,affliction,,,
requiresRuntimeDecision,U-turn,Eneias,Yanma,trainers/Eneias/sheets/Yanma_243_6c200e80,true,catalog+sheet_build,needs_review,damage+teleport,,,
fullyAutomated,Leech Life,Eneias,Yanma,trainers/Eneias/sheets/Yanma_243_6c200e80,true,catalog+sheet_build,automatic,damage+healing,,,
fullyAutomated,Liquidation,Ezenek,Araquanid,trainers/Ezenek/sheets/Araquanid_261_55142ee7,true,catalog+sheet_build,automatic,damage+weaken,,,
needsReview,Spider Web,Ezenek,Araquanid,trainers/Ezenek/sheets/Araquanid_261_55142ee7,true,catalog+sheet_build,needs_review,custom,,custom_effect,
needsReview,Infestation,Ezenek,Araquanid,trainers/Ezenek/sheets/Araquanid_261_55142ee7,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
fullyAutomated,Leech Life,Ezenek,Araquanid,trainers/Ezenek/sheets/Araquanid_261_55142ee7,true,catalog+sheet_build,automatic,damage+healing,,,
fullyAutomated,Aqua Ring,Ezenek,Araquanid,trainers/Ezenek/sheets/Araquanid_261_55142ee7,true,catalog+sheet_build,partial,regeneration,,,
fullyAutomated,Rain Dance,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,partial,environment,,,
fullyAutomated,Water Pulse,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Skull Bash,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Ice Wind,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Dark Pulse,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Withdraw,Ezenek,Blastoise,trainers/Ezenek/sheets/Blastoise_6_b657c90b,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Double Team,Ezenek,Clefairy,trainers/Ezenek/sheets/Clefairy_28_267a6250,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Flash,Ezenek,Clefairy,trainers/Ezenek/sheets/Clefairy_28_267a6250,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Cosmic Power,Ezenek,Clefairy,trainers/Ezenek/sheets/Clefairy_28_267a6250,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
requiresRuntimeDecision,Baton Pass,Ezenek,Clefairy,trainers/Ezenek/sheets/Clefairy_28_267a6250,true,catalog+sheet_build,needs_review,teleport,,,
requiresRuntimeDecision,Toxic Spikes,Ezenek,Clefairy,trainers/Ezenek/sheets/Clefairy_28_267a6250,true,catalog+sheet_build,needs_review,create+affliction,,,
needsReview,Fly,Ezenek,Corviknight,trainers/Ezenek/sheets/Corviknight_266_4956f557,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Metal Sound,Ezenek,Corviknight,trainers/Ezenek/sheets/Corviknight_266_4956f557,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Iron Defense,Ezenek,Corviknight,trainers/Ezenek/sheets/Corviknight_266_4956f557,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Dual Wingbeat,Ezenek,Corviknight,trainers/Ezenek/sheets/Corviknight_266_4956f557,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Flash Cannon,Ezenek,Corviknight,trainers/Ezenek/sheets/Corviknight_266_4956f557,true,catalog+sheet_build,automatic,damage+weaken,,,
automatedWithFallback,Bad Dreans,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,sheet_build,automatic,damage,,,
needsReview,Dark Pulse,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,true,catalog+sheet_build,needs_review,affliction+damage,,unknown_extra,
needsReview,Dark Void,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,sheet_build,needs_review,custom,,custom_effect,
needsReview,Dark Void Area,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,sheet_build,needs_review,custom,,custom_effect|unknown_extra,
needsReview,Disable: Nullify 22,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,name_build+sheet_modifiers,needs_review,nullify,,,
requiresRuntimeDecision,Dream Eater,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,sheet_build,needs_review,healing+regeneration+damage+affliction+variable+variable,,,
needsReview,Haze,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,true,catalog+sheet_build,needs_review,immunity+environment+damage,,unknown_extra,
automatedWithFallback,Nightmare,Ezenek,Darkrai,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d,false,sheet_build,automatic,damage,,,
fullyAutomated,Aqua Ring,Ezenek,Dewpider,trainers/Ezenek/sheets/Dewpider_260_ed953b82,true,catalog+sheet_build,partial,regeneration,,,
needsReview,Spider Web,Ezenek,Dewpider,trainers/Ezenek/sheets/Dewpider_260_ed953b82,true,catalog+sheet_build,needs_review,custom,,custom_effect,
needsReview,Infestation,Ezenek,Dewpider,trainers/Ezenek/sheets/Dewpider_260_ed953b82,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
needsReview,Soak,Ezenek,Dewpider,trainers/Ezenek/sheets/Dewpider_260_ed953b82,true,catalog+sheet_build,needs_review,feature,,,
requiresRuntimeDecision,Sticky Web,Ezenek,Dewpider,trainers/Ezenek/sheets/Dewpider_260_ed953b82,true,catalog+sheet_build,needs_review,create+affliction,,,
requiresRuntimeDecision,Volt Switch,Ezenek,Emolga,trainers/Ezenek/sheets/Emolga_319_93cdaa78,true,catalog+sheet_build,needs_review,damage+teleport,,,
fullyAutomated,Agillity,Ezenek,Emolga,trainers/Ezenek/sheets/Emolga_319_93cdaa78,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Light Screen,Ezenek,Emolga,trainers/Ezenek/sheets/Emolga_319_93cdaa78,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Encore,Ezenek,Emolga,trainers/Ezenek/sheets/Emolga_319_93cdaa78,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Thunderbolt,Ezenek,Emolga,trainers/Ezenek/sheets/Emolga_319_93cdaa78,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Shadow Ball,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Sludge Bomb,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,damage+damage+affliction,,,
needsReview,Mean Look,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Hypnosis,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,affliction,,unreliable_50_percent,
needsReview,Disable,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,needs_review,nullify,,,
requiresRuntimeDecision,Phantom Trap,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,false,sheet_build,needs_review,create+nullify,,,
fullyAutomated,Double Team,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Confuse Ray,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Taunt,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Destiny Bond,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,needs_review,affliction,,reaction_needs_trigger,
fullyAutomated,Hex,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,damage+damage,,,
fullyAutomated,Psychic,Ezenek,Gengar,trainers/Ezenek/sheets/Gengar_62_46ad6c53,true,catalog+sheet_build,automatic,damage+weaken,,,
needsReview,Blizzard,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,needs_review,damage+custom,,unreliable_50_percent|custom_effect,
needsReview,Hail,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,needs_review,damage+environment,,fades_on_instant,
fullyAutomated,Crunch,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Double Team,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,automatic,enhanced_trait,,,
needsReview,Gyro Ball,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,needs_review,custom,,custom_effect,
needsReview,Disable,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,needs_review,nullify,,,
needsReview,Block,Ezenek,Glalie,trainers/Ezenek/sheets/Glalie_117_e88ca4a6,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Stealth Rock,Ezenek,Golem-A,trainers/Ezenek/sheets/Golem-A_52_fe504b8e,true,catalog+sheet_build,needs_review,create+damage,,,
fullyAutomated,Rock Blast,Ezenek,Golem-A,trainers/Ezenek/sheets/Golem-A_52_fe504b8e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Earthquake,Ezenek,Golem-A,trainers/Ezenek/sheets/Golem-A_52_fe504b8e,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Heavy Slam,Ezenek,Golem-A,trainers/Ezenek/sheets/Golem-A_52_fe504b8e,true,catalog+sheet_build,automatic,damage,,,
needsReview,Double-Edge,Ezenek,Golem-A,trainers/Ezenek/sheets/Golem-A_52_fe504b8e,true,catalog+sheet_build,needs_review,custom,,custom_effect,
